"","GEOID","NAME","tract","county","total_workers","essential","nonessential","conman","food","health","protection","socialservices","transport","total_pop","nonwhite_pct","pov_pct","hh_inc_med"
"501","17031520200","Census Tract 5202, Cook County, Illinois","5202","Cook",1272,0.687106918238994,0.312893081761006,0.424528301886792,0.00786163522012579,0.0377358490566038,0.035377358490566,0.0157232704402516,0.165880503144654,3989,0.937,0.25,38884
"502","17031520300","Census Tract 5203, Cook County, Illinois","5203","Cook",2098,0.589609151572927,0.410390848427073,0.285033365109628,0.0295519542421354,0.0433746425166826,0.0419447092469018,0,0.189704480457579,5857,0.901,0.277,41860
"503","17031520400","Census Tract 5204, Cook County, Illinois","5204","Cook",1995,0.628571428571429,0.371428571428571,0.310275689223058,0.0416040100250627,0.0701754385964912,0.0255639097744361,0.00802005012531328,0.172932330827068,4656,0.892,0.163,44226
"504","17031520500","Census Tract 5205, Cook County, Illinois","5205","Cook",2124,0.598399246704332,0.401600753295669,0.252354048964218,0.0734463276836158,0.057909604519774,0.0273069679849341,0.00800376647834275,0.179378531073446,5109,0.718,0.114,62311
"505","17031520600","Census Tract 5206, Cook County, Illinois","5206","Cook",966,0.580745341614907,0.419254658385093,0.324016563146998,0.0383022774327122,0.05175983436853,0.0476190476190476,0.0031055900621118,0.115942028985507,2809,0.772,0.166,44738
"506","17031530100","Census Tract 5301, Cook County, Illinois","5301","Cook",922,0.658351409978308,0.341648590021692,0.407809110629067,0.0845986984815618,0.027114967462039,0.027114967462039,0.00759219088937093,0.10412147505423,2236,0.996,0.266,35875
"507","17031530200","Census Tract 5302, Cook County, Illinois","5302","Cook",1233,0.582319545823195,0.417680454176805,0.139497161394972,0.0446066504460665,0.110300081103001,0.0721816707218167,0.0064882400648824,0.209245742092457,3920,0.992,0.324,36448
"508","17031530300","Census Tract 5303, Cook County, Illinois","5303","Cook",1675,0.568358208955224,0.431641791044776,0.161194029850746,0.0776119402985075,0.0262686567164179,0.0764179104477612,0.0561194029850746,0.170746268656716,4440,0.998,0.219,47039
"509","17031530400","Census Tract 5304, Cook County, Illinois","5304","Cook",800,0.5425,0.4575,0.1125,0.0175,0.1325,0.075,0.03375,0.17125,2053,0.985,0.235,58065
"510","17031530501","Census Tract 5305.01, Cook County, Illinois","5305.01","Cook",1658,0.505428226779252,0.494571773220748,0.143546441495778,0.0410132689987937,0.109770808202654,0.0319662243667069,0,0.17913148371532,4644,0.981,0.2,44436
"511","17031530502","Census Tract 5305.02, Cook County, Illinois","5305.02","Cook",622,0.47427652733119,0.52572347266881,0.162379421221865,0.00803858520900321,0.128617363344051,0.0803858520900322,0,0.0948553054662379,1552,1,0.217,44744
"512","17031530503","Census Tract 5305.03, Cook County, Illinois","5305.03","Cook",2074,0.560270009643202,0.439729990356798,0.170684667309547,0.0231436837029894,0.16152362584378,0.0891996142719383,0.014946962391514,0.100771456123433,5973,0.998,0.288,39231
"513","17031530600","Census Tract 5306, Cook County, Illinois","5306","Cook",1068,0.536516853932584,0.463483146067416,0.118913857677903,0.0402621722846442,0.0561797752808989,0.124531835205993,0.0299625468164794,0.166666666666667,2653,0.996,0.288,32566
"514","17031540101","Census Tract 5401.01, Cook County, Illinois","5401.01","Cook",1105,0.574660633484163,0.425339366515837,0.121266968325792,0.122171945701357,0.106787330316742,0.069683257918552,0,0.154751131221719,4055,0.994,0.529,14066
"515","17031540102","Census Tract 5401.02, Cook County, Illinois","5401.02","Cook",794,0.652392947103275,0.347607052896725,0.158690176322418,0.0428211586901763,0.16624685138539,0.0667506297229219,0.0138539042821159,0.204030226700252,3207,0.967,0.642,13585
"516","17031550100","Census Tract 5501, Cook County, Illinois","5501","Cook",2810,0.560498220640569,0.439501779359431,0.211032028469751,0.095729537366548,0.0455516014234875,0.0765124555160142,0.0156583629893238,0.116014234875445,6479,0.614,0.253,50637
"517","17031550200","Census Tract 5502, Cook County, Illinois","5502","Cook",1166,0.496569468267582,0.503430531732418,0.251286449399657,0.0454545454545455,0.0806174957118353,0.08147512864494,0.0214408233276158,0.016295025728988,2726,0.595,0.055,53125
"518","17031560100","Census Tract 5601, Cook County, Illinois","5601","Cook",604,0.597682119205298,0.402317880794702,0.279801324503311,0.0629139072847682,0.0695364238410596,0,0.00496688741721854,0.18046357615894,1539,0.891,0.09,62059
"519","17031560200","Census Tract 5602, Cook County, Illinois","5602","Cook",601,0.564059900166389,0.435940099833611,0.148086522462562,0.0632279534109817,0.0549084858569052,0.0282861896838602,0.0332778702163062,0.236272878535774,1654,0.927,0.193,48250
"520","17031560300","Census Tract 5603, Cook County, Illinois","5603","Cook",1216,0.432565789473684,0.567434210526316,0.217105263157895,0.0764802631578947,0.0222039473684211,0.00904605263157895,0.0172697368421053,0.0904605263157895,3145,0.692,0.132,51034
"521","17031560400","Census Tract 5604, Cook County, Illinois","5604","Cook",695,0.660431654676259,0.339568345323741,0.276258992805755,0.0748201438848921,0.0820143884892086,0.0201438848920863,0.00719424460431655,0.2,1585,0.751,0.129,55670
"522","17031560700","Census Tract 5607, Cook County, Illinois","5607","Cook",1723,0.604759141033082,0.395240858966918,0.395240858966918,0.0336622170632618,0.0429483459082995,0.0232153221125943,0.00522344747533372,0.104468949506674,3726,0.595,0.122,56452
"523","17031560800","Census Tract 5608, Cook County, Illinois","5608","Cook",2551,0.526852214817719,0.473147785182281,0.215209721677773,0.0113680909447276,0.0568404547236378,0.137985103880831,0.0164641317130537,0.088984711877695,5886,0.529,0.066,70102
"524","17031560900","Census Tract 5609, Cook County, Illinois","5609","Cook",2830,0.464310954063604,0.535689045936396,0.158657243816254,0.0275618374558304,0.0812720848056537,0.116254416961131,0.00600706713780919,0.0745583038869258,5341,0.414,0.015,96326
"525","17031561000","Census Tract 5610, Cook County, Illinois","5610","Cook",3135,0.546092503987241,0.453907496012759,0.272408293460925,0.0175438596491228,0.0963317384370016,0.102392344497608,0.0156299840510367,0.0417862838915471,6064,0.465,0.026,99667
"526","17031561100","Census Tract 5611, Cook County, Illinois","5611","Cook",2706,0.464892830746489,0.535107169253511,0.208425720620843,0.0761271249076127,0.0380635624538064,0.0764966740576497,0.00702143385070214,0.0587583148558758,5502,0.493,0.043,84805
"527","17031570100","Census Tract 5701, Cook County, Illinois","5701","Cook",700,0.621428571428571,0.378571428571429,0.307142857142857,0.11,0.0642857142857143,0.00714285714285714,0.0185714285714286,0.114285714285714,1302,0.808,0.154,55809
"528","17031570200","Census Tract 5702, Cook County, Illinois","5702","Cook",839,0.483909415971394,0.516090584028606,0.185935637663886,0.0524433849821216,0.0631704410011919,0.00953516090584029,0.00715137067938021,0.165673420738975,2074,0.818,0.227,43571
"529","17031570300","Census Tract 5703, Cook County, Illinois","5703","Cook",2452,0.625203915171289,0.374796084828711,0.242659053833605,0.0942088091353997,0.0766721044045677,0.0171288743882545,0.000815660685154976,0.193719412724307,5691,0.85,0.202,44266
"530","17031570400","Census Tract 5704, Cook County, Illinois","5704","Cook",840,0.680952380952381,0.319047619047619,0.38452380952381,0.0857142857142857,0.0285714285714286,0.00595238095238095,0.0416666666666667,0.13452380952381,1725,0.897,0.088,41596
"531","17031570500","Census Tract 5705, Cook County, Illinois","5705","Cook",991,0.646821392532795,0.353178607467205,0.352169525731584,0.0332996972754793,0.0665993945509586,0.024217961654894,0.0141271442986882,0.156407669021191,2290,0.792,0.138,40000
